date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,breakeven_hit,trailing_active,contracts
2025-03-12 03:45:00-04:00,LPH,SHORT,5597.75,5572.75,5622.75,135234,London,Wednesday,3,5597.75,2025,3,LOSS,5622.75,2025-03-12 07:15:00-04:00,-25.0,-500.0,14,11.75,27.75,False,False,4
2025-03-12 04:45:00-04:00,PMH,SHORT,5613.0,5588.0,5638.0,135238,London,Wednesday,4,5613.0,2025,3,LOSS,5638.0,2025-03-12 08:30:00-04:00,-25.0,-500.0,15,7.5,61.5,False,False,4
2025-03-12 10:00:00-04:00,PML,LONG,5589.25,5614.25,5564.25,135259,NY,Wednesday,10,5589.25,2025,3,LOSS,5564.25,2025-03-12 11:00:00-04:00,-25.0,-500.0,4,22.0,39.0,False,False,4
2025-03-12 10:30:00-04:00,LPL,LONG,5578.75,5603.75,5553.75,135261,NY,Wednesday,10,5578.75,2025,3,LOSS,5553.75,2025-03-12 11:00:00-04:00,-25.0,-500.0,2,10.25,28.5,False,False,4
2025-03-13 03:45:00-04:00,LPL,LONG,5563.0,5588.0,5538.0,135326,London,Thursday,3,5563.0,2025,3,WIN,5588.25,2025-03-13 05:15:00-04:00,25.25,505.0,6,30.25,3.75,False,True,4
2025-03-13 05:45:00-04:00,LPH,SHORT,5593.5,5568.5,5618.5,135334,London,Thursday,5,5593.5,2025,3,WIN,5562.25,2025-03-13 09:45:00-04:00,31.25,625.0,16,36.25,16.25,False,True,4
2025-03-13 09:45:00-04:00,PML,LONG,5568.0,5593.0,5543.0,135350,NY,Thursday,9,5568.0,2025,3,WIN,5598.75,2025-03-13 10:15:00-04:00,30.75,615.0,2,35.75,11.75,False,True,4
2025-03-13 11:15:00-04:00,PDL,LONG,5550.25,5575.25,5525.25,135356,NY,Thursday,11,5550.25,2025,3,LOSS,5525.25,2025-03-13 13:00:00-04:00,-25.0,-500.0,7,13.75,25.25,False,False,4
2025-03-14 03:15:00-04:00,LPL,LONG,5556.25,5581.25,5531.25,135416,London,Friday,3,5556.25,2025,3,WIN,5582.0,2025-03-14 08:15:00-04:00,25.75,515.0,20,30.75,3.25,False,True,4
2025-03-14 04:15:00-04:00,LPH,SHORT,5572.75,5547.75,5597.75,135420,London,Friday,4,5572.75,2025,3,LOSS,5597.75,2025-03-14 09:45:00-04:00,-25.0,-500.0,22,14.0,35.0,False,False,4
2025-03-14 05:30:00-04:00,PML,LONG,5563.25,5588.25,5538.25,135425,London,Friday,5,5563.25,2025,3,WIN,5588.5,2025-03-14 09:30:00-04:00,25.25,505.0,16,30.25,4.5,False,True,4
2025-03-14 09:45:00-04:00,PMH,SHORT,5588.0,5563.0,5613.0,135442,NY,Friday,9,5588.0,2025,3,LOSS,5613.0,2025-03-14 10:45:00-04:00,-25.0,-500.0,4,24.5,25.75,False,False,4
2025-03-14 09:45:00-04:00,PDH,SHORT,5609.75,5584.75,5634.75,135442,NY,Friday,9,5609.75,2025,3,WIN,5568.5,2025-03-14 10:00:00-04:00,41.25,825.0,1,46.25,0.0,False,True,4
2025-03-17 03:15:00-04:00,LPL,LONG,5601.0,5626.0,5576.0,135508,London,Monday,3,5601.0,2025,3,WIN,5623.75,2025-03-17 06:45:00-04:00,22.75,455.0,14,27.75,1.5,False,True,4
2025-03-17 03:45:00-04:00,LPH,SHORT,5613.0,5588.0,5638.0,135510,London,Monday,3,5613.0,2025,3,LOSS,5638.0,2025-03-17 08:30:00-04:00,-25.0,-500.0,19,10.0,36.0,False,False,4
2025-03-17 05:15:00-04:00,PML,LONG,5605.5,5630.5,5580.5,135516,London,Monday,5,5605.5,2025,3,WIN,5628.0,2025-03-17 07:00:00-04:00,22.5,450.0,7,27.5,0.0,False,True,4
2025-03-17 09:45:00-04:00,PMH,SHORT,5649.0,5624.0,5674.0,135534,NY,Monday,9,5649.0,2025,3,LOSS,5674.0,2025-03-17 13:30:00-04:00,-25.0,-500.0,15,11.25,32.5,False,False,4
2025-03-18 04:45:00-04:00,PMH,SHORT,5683.0,5658.0,5708.0,135606,London,Tuesday,4,5683.0,2025,3,WIN,5657.75,2025-03-18 06:15:00-04:00,25.25,505.0,6,30.25,0.0,False,True,4
2025-03-18 06:45:00-04:00,LPH,SHORT,5668.25,5643.25,5693.25,135614,London,Tuesday,6,5668.25,2025,3,WIN,5630.75,2025-03-18 09:30:00-04:00,37.5,750.0,11,42.5,4.5,False,True,4
2025-03-18 09:45:00-04:00,PML,LONG,5650.25,5675.25,5625.25,135626,NY,Tuesday,9,5650.25,2025,3,LOSS,5625.25,2025-03-18 10:00:00-04:00,-25.0,-500.0,1,0.0,38.75,False,False,4
2025-03-18 11:00:00-04:00,PDL,LONG,5599.0,5624.0,5574.0,135631,NY,Tuesday,11,5599.0,2025,3,WIN,5621.25,2025-03-18 12:15:00-04:00,22.25,445.0,5,27.25,0.0,False,True,4
2025-03-19 03:15:00-04:00,LPL,LONG,5620.0,5645.0,5595.0,135692,London,Wednesday,3,5620.0,2025,3,WIN,5648.0,2025-03-19 09:45:00-04:00,28.0,560.0,26,33.0,13.75,False,True,4
2025-03-19 05:15:00-04:00,PML,LONG,5617.0,5642.0,5592.0,135700,London,Wednesday,5,5617.0,2025,3,WIN,5648.0,2025-03-19 09:45:00-04:00,31.0,620.0,18,36.0,0.0,False,True,4
2025-03-19 09:45:00-04:00,PMH,SHORT,5637.5,5612.5,5662.5,135718,NY,Wednesday,9,5637.5,2025,3,LOSS,5662.5,2025-03-19 10:00:00-04:00,-25.0,-500.0,1,0.0,25.25,False,False,4
2025-03-19 14:30:00-04:00,PDH,SHORT,5683.0,5658.0,5708.0,135737,NY,Wednesday,14,5683.0,2025,3,LOSS,5708.0,2025-03-19 15:00:00-04:00,-25.0,-500.0,2,10.25,35.5,False,False,4
2025-03-20 03:15:00-04:00,LPH,SHORT,5707.0,5682.0,5732.0,135784,London,Thursday,3,5707.0,2025,3,WIN,5680.0,2025-03-20 05:45:00-04:00,27.0,540.0,10,32.0,0.0,False,True,4
2025-03-20 03:15:00-04:00,LPL,LONG,5698.75,5723.75,5673.75,135784,London,Thursday,3,5698.75,2025,3,LOSS,5673.75,2025-03-20 06:00:00-04:00,-25.0,-500.0,11,7.75,41.0,False,False,4
2025-03-20 04:45:00-04:00,PMH,SHORT,5706.5,5681.5,5731.5,135790,London,Thursday,4,5706.5,2025,3,WIN,5680.0,2025-03-20 05:45:00-04:00,26.5,530.0,4,31.5,0.0,False,True,4
